,First Forecast,Final Forecast,Change,Direction
Non-UK-born,7831.3475596454555,8452.546142136338,621.1985824908825,Increasing
EU27,2428.9545009432863,2420.5196526930154,-8.434848250270989,Decreasing
Non-EU,5386.248158451316,6199.044334847165,812.7961763958492,Increasing
